id_index,level,occ,race,server_id,deposit_year,deposit_his,role_count,'prediction margin','predicted class',class
1,120,7,0,1007,1050,19119,2,-1,N,?
2,128,3,0,1018,1050,19119,2,-1,N,?
3,130,18,1,1018,1310,7950,1,-1,N,?
4,130,16,0,1034,18,3938,1,-1,N,?
5,130,16,0,1078,1343,1343,1,-1,N,?
6,130,2,0,1007,64378,88624,1,-1,N,?
7,130,3,0,1007,80,7529,1,-1,N,?
8,130,16,0,1078,11900,11900,1,-1,N,?
9,130,12,1,1018,150,36459,2,-1,N,?
10,130,18,0,1018,150,36459,2,-1,N,?
11,130,16,0,1007,100,100,1,-1,N,?
12,130,1,0,1034,1110,5458,1,-1,N,?
13,130,12,0,1018,180,3010,1,-1,N,?
14,130,12,0,1048,12244,88428,1,-1,N,?
15,130,6,0,1056,100,820,1,-1,N,?
16,21,1,0,1022,5461,10590,2,-1,N,?
17,11,2,0,1083,5461,10590,2,-1,N,?
18,130,16,0,1048,180,216,1,-1,N,?
19,130,5,1,1034,30,522,1,-1,N,?
20,130,5,1,1078,50,50,2,0.998791,Y,?
21,107,11,1,1022,60,60,3,0.860198,Y,?
22,112,8,0,1034,60,60,3,0.632951,Y,?
23,130,2,0,1048,150,3680,1,-1,N,?
24,130,1,0,1034,13096,93693,2,-1,N,?
25,130,2,0,1034,13096,93693,2,-1,N,?
26,130,5,1,1007,30,1054,1,-1,N,?
27,130,5,1,1048,200,550,1,-1,N,?
28,130,2,0,1007,6104,5504,1,-1,N,?
29,130,2,0,1018,9132,36459,1,-1,N,?
30,130,6,1,1034,60,490,1,-1,N,?
31,94,4,0,1083,6,16,1,0.590278,Y,?
32,130,2,0,1018,30,2900,1,-1,N,?
33,30,16,0,1034,140,629,5,-1,N,?
34,74,2,0,1034,140,629,5,-1,N,?
35,53,8,0,1034,140,629,5,-1,N,?
36,130,8,0,1034,140,629,5,-1,N,?
37,88,13,0,1034,140,629,5,-1,N,?
38,130,17,0,1083,200,200,1,-1,N,?
39,130,2,1,1034,30,235,1,0.547601,Y,?
40,130,3,0,1018,902,2633,1,-1,N,?
41,15,0,0,1048,100,3170,1,-1,N,?
42,130,2,0,1007,114,909,1,-1,N,?
43,130,20,0,1019,13127,21623,1,-1,N,?
44,130,16,0,1007,350,6649,2,-1,N,?
45,83,1,0,1007,350,6649,2,-1,N,?
